标题,品牌,名称,SKU,价格,总评数,平均得分,好评数,默认好评,好评率,追评数,视频晒单数,差评数,中评数
京宁 家用空气净化器母婴儿商用办公室活性炭室内除异味新风机除雾霾过滤除烟除尘负离子氧吧除甲醛 八键   金色,京宁,京宁 家用空气净化器母婴儿商用办公室活性炭室内除异味新风机除雾霾过滤除烟除尘负离子氧吧除甲醛 八键   金色,31476026099,399,1922,5,1861,670,0.99,2,6,3,3
松下（Panasonic）除甲醛空气净化器家用 除细菌病毒 除过敏原雾霾二手烟苯 纳米水离子PM2.5数显F-136C7PX,松下（Panasonic）,松下F-136C7PX,5197957,5499,1900,5,1630,897,0.99,117,98,5,2
松下（Panasonic）新风系统 家用空气净化器壁挂式全热交换器PM2.5过滤新风机双向流内外循环 FV-09ZV1C,松下（Panasonic）,松下（Panasonic）新风系统 家用空气净化器壁挂式全热交换器PM2.5过滤新风机双向流内外循环 FV-09ZV1C,27553520051,5999,1893,5,1544,1073,0.98,23,14,12,5
松下（Panasonic）新风系统 家用空气净化器壁挂式全热交换器PM2.5过滤新风机双向流内外循环 PM2.5滤网 FV-FP09ZV1C【单片】,松下（Panasonic）,松下（Panasonic）新风系统 家用空气净化器壁挂式全热交换器PM2.5过滤新风机双向流内外循环 PM2.5滤网 FV-FP09ZV1C【单片】,27169113076,209,1893,5,1544,1073,0.98,23,14,12,5
松下（Panasonic）新风系统 家用空气净化器壁挂式全热交换器PM2.5过滤新风机双向流内外循环 PM2.5滤网 FV-FP09ZV1C【盒装3片】,松下（Panasonic）,松下（Panasonic）新风系统 家用空气净化器壁挂式全热交换器PM2.5过滤新风机双向流内外循环 PM2.5滤网 FV-FP09ZV1C【盒装3片】,26544019579,589,1893,5,1544,1073,0.98,23,14,12,5
日本eureks 车载空气净化器 一键智能自动检测 PM2.5去除新车车内异味甲醛  汽车用品电器 珍珠黑(专业版-带数据检测显示)优乐康斯,飞天狐,日本eureks 车载空气净化器 一键智能自动检测 PM2.5去除新车车内异味甲醛  汽车用品电器 珍珠黑(专业版-带数据检测显示)优乐康斯,1352936436,1098,1862,5,1781,415,0.97,18,4,16,33
日本eureks 车载空气净化器 一键智能自动检测 PM2.5去除新车车内异味甲醛  汽车用品电器 雪山白(专业版-带数据检测显示),飞天狐,日本eureks 车载空气净化器 一键智能自动检测 PM2.5去除新车车内异味甲醛  汽车用品电器 雪山白(专业版-带数据检测显示),1352936437,1098,1862,5,1781,415,0.97,18,4,16,33
日本eureks 车载空气净化器 一键智能自动检测 PM2.5去除新车车内异味甲醛  汽车用品电器 雪山白(实用版),飞天狐,日本eureks 车载空气净化器 一键智能自动检测 PM2.5去除新车车内异味甲醛  汽车用品电器 雪山白(实用版),10075659407,998,1862,5,1781,415,0.97,18,4,16,33
日本eureks 车载空气净化器 一键智能自动检测 PM2.5去除新车车内异味甲醛  汽车用品电器 专用医用级HEPA高效滤网滤芯,飞天狐,日本eureks 车载空气净化器 一键智能自动检测 PM2.5去除新车车内异味甲醛  汽车用品电器 专用医用级HEPA高效滤网滤芯,10079833902,168,1862,5,1781,415,0.97,18,4,16,33
TCL 空气净化器家用 除甲醛雾霾烟尘智能遥控KJ815F 亚麻黑,TCL,TCL 空气净化器家用 除甲醛雾霾烟尘智能遥控KJ815F 亚麻黑,16046498631,3299,1860,5,1855,18,1,1,1,0,0
海尔母婴空气加湿净化器一体机家用除甲醛雾霾除菌花粉烟尘pm2.5负离子KJ300F-HY02带加湿 【KJ300F-HY02】空气净化器+晒单赠原装滤,海尔（Haier）,海尔母婴空气加湿净化器一体机家用除甲醛雾霾除菌花粉烟尘pm2.5负离子KJ300F-HY02带加湿 【KJ300F-HY02】空气净化器+晒单赠原装滤,33151359129,1499,1854,5,1705,1494,1,11,43,0,0
海尔母婴空气加湿净化器一体机家用除甲醛雾霾除菌花粉烟尘pm2.5负离子KJ300F-HY02带加湿 【KJ300F-HY02】空气净化器,海尔（Haier）,海尔母婴空气加湿净化器一体机家用除甲醛雾霾除菌花粉烟尘pm2.5负离子KJ300F-HY02带加湿 【KJ300F-HY02】空气净化器,33151359109,1499,1854,5,1705,1494,1,11,43,0,0
智胜（Vthink）车载空气净化器车内负离子氧吧除甲醛烟味异味PM2.5雾霾颗粒物滤网汽车香薰 高雅白【空气净化+双USB车充+LED电压显示】,智胜（Vthink）,智胜（Vthink）车载空气净化器车内负离子氧吧除甲醛烟味异味PM2.5雾霾颗粒物滤网汽车香薰 高雅白【空气净化+双USB车充+LED电压显示】,21396401549,69,1840,5,1749,595,0.98,8,0,8,11
淘捷 新款车载空气净化器 太阳能车内负离子除甲醛烟味异味PM2.5雾霾HEPA滤网汽车净化器香薰 升级款车载空气净化器-送滤芯 双模式净化-显示空气质量、电量,淘捷（taojie）,淘捷 新款车载空气净化器 太阳能车内负离子除甲醛烟味异味PM2.5雾霾HEPA滤网汽车净化器香薰 升级款车载空气净化器-送滤芯 双模式净化-显示空气质量、电量,31983648759,268,1840,5,1800,466,0.99,34,6,4,4
3M 车载空气净化器 车载净化器 汽车空气净化器除甲醛 新车除味除PM2.5 高效过滤 智能静音 68002,3M,3M车载空气净化器,1.00002E+11,849,1833,5,657,1449,0.98,13,11,5,6
3M 空气质量检测仪 空气质量自测PM2.5/PM0.3监控 车载空气净化器连接终端 滤芯更换提醒 实时监控 PN68102,3M,3M空气质量监测,1.00003E+11,899,1831,5,655,1449,0.98,13,11,5,6
智胜（Vthink）车载空气净化器车内负离子氧吧除甲醛烟味异味PM2.5雾霾颗粒物滤网汽车香薰 时尚白【空气净化+双USB车充+LED电压显示】,智胜（Vthink）,智胜（Vthink）车载空气净化器车内负离子氧吧除甲醛烟味异味PM2.5雾霾颗粒物滤网汽车香薰 时尚白【空气净化+双USB车充+LED电压显示】,31376229522,69,1840,5,1749,595,0.98,8,0,8,11
智胜（Vthink）车载空气净化器车内负离子氧吧除甲醛烟味异味PM2.5雾霾颗粒物滤网汽车香薰 全新升级版时尚白【7彩呼吸灯功能+除味香薰】,智胜（Vthink）,智胜（Vthink）车载空气净化器车内负离子氧吧除甲醛烟味异味PM2.5雾霾颗粒物滤网汽车香薰 全新升级版时尚白【7彩呼吸灯功能+除味香薰】,23287489839,99,1840,5,1749,595,0.98,8,0,8,11
智胜（Vthink）车载空气净化器车内负离子氧吧除甲醛烟味异味PM2.5雾霾颗粒物滤网汽车香薰 智能升级版【时尚白色】,智胜（Vthink）,智胜（Vthink）车载空气净化器车内负离子氧吧除甲醛烟味异味PM2.5雾霾颗粒物滤网汽车香薰 智能升级版【时尚白色】,21396401548,199,1840,5,1749,595,0.98,8,0,8,11
史密斯(A.O.Smith) 空气净化器  HEPA高效复合滤网滤芯IF-006 （适用于KJ420F-B01/KJ-400A01/KJ350F-M01）,史密斯（A.O.SMITH）,史密斯IF-006,2375914,698,1819,5,1372,1391,0.99,7,5,1,1
车载空气净化器 除甲醛太阳能香薰净化器负离子加湿器PM2.5 飞碟UFO-1 烈焰红,AJS,车载空气净化器 除甲醛太阳能香薰净化器负离子加湿器PM2.5 飞碟UFO-1 烈焰红,10641770787,88,1808,5,1695,464,0.97,7,1,26,25
车载空气净化器 除甲醛太阳能香薰净化器负离子加湿器PM2.5 飞碟UFO-1 月星白,AJS,车载空气净化器 除甲醛太阳能香薰净化器负离子加湿器PM2.5 飞碟UFO-1 月星白,10641770785,88,1808,5,1695,464,0.97,7,1,26,25
拓玛仕 车载负离子空气净化器汽车用负氧发生器氧吧除新车异味甲醛杀菌车载充电器USB3.0快充点烟器 升级版带双USB充电负离子车载空气净化器-太空银,拓玛仕（TUOMASHI）,拓玛仕 车载负离子空气净化器汽车用负氧发生器氧吧除新车异味甲醛杀菌车载充电器USB3.0快充点烟器 升级版带双USB充电负离子车载空气净化器-太空银,51950700717,128,1798,5,346,1440,0.96,0,0,7,5
家泰风窗式新风系统家用新通风换气除甲醛雾霾PM2.5粉尘新风机全屋非壁挂中央空气净化器无管道通风设备 咖啡色【常规滤网版】 定制尺寸+70风量【建议20平米以内空间】,家泰风,家泰风窗式新风系统家用新通风换气除甲醛雾霾PM2.5粉尘新风机全屋非壁挂中央空气净化器无管道通风设备 咖啡色【常规滤网版】 定制尺寸+70风量【建议20平米以内空间】,54168516244,3580,1765,5,464,1300,0.99,1,0,0,1
IQAir空气净化器替换滤芯滤网 适用于HP250 中层 除甲醛除异味除烟除臭氧 瑞士原装进口HealthPro V5-Cell MG,IQAir,IQAirV-5 Cell MG,1074969,1280,1757,5,1396,1372,0.99,4,0,2,6
新颐 小白2.0空气净化器 家用办公室室内静音除甲醛二手烟雾霾细菌过敏源,新颐,新颐KJ420G-A02,10437722440,2199,1752,5,1488,1062,0.99,20,9,0,8
长虹（CHANGHONG） 空气净化器 家用静音除甲醛雾霾二手烟PM2.5 KJ222F-B1M+强效滤网,长虹（CHANGHONG）,长虹（CHANGHONG） 空气净化器 家用静音除甲醛雾霾二手烟PM2.5 KJ222F-B1M+强效滤网,30686587719,699,1751,5,1575,1160,0.98,15,25,12,10
富士通（fujitsu）空气净化器ACSQ18EN-W 无耗材静音办公家用新国标除甲醛F4 除雾霾P4 珍珠白,富士通（fujitsu）,富士通ACSQ18ENA-W,6043513,1999,1751,5,1604,936,0.99,16,22,8,4
日本富士通（Fujitsu） 无耗材加湿静音空气净化器家用除甲醛除雾霾杀菌除异味ACSQ18EHA 珍珠白,富士通（Fujitsu）,日本富士通（Fujitsu） 无耗材加湿静音空气净化器家用除甲醛除雾霾杀菌除异味ACSQ18EHA 珍珠白,1809365924,2998,1751,5,1604,936,0.99,16,22,8,4
飞利浦（PHILIPS） 车载空气净化器  智能APP预约净化 高效除污染物过敏原 过滤颗粒物 GP9101,飞利浦（PHILIPS）,飞利浦GP9101,5381029,1899,1743,5,1085,1357,0.98,17,8,8,5
安美瑞 ffu车载空气净化器去异味负离子汽车氧吧,安美瑞,安美瑞 ffu车载空气净化器去异味负离子汽车氧吧,18973929704,488,1744,5,1740,1049,0.99,5,0,3,0
352 空气净化器 家用X80经典款 除颗粒物CADR=750立方米每小时 X80除雾霾版,352,352 空气净化器 家用X80经典款 除颗粒物CADR=750立方米每小时 X80除雾霾版,14439985205,2599,1743,5,1735,1315,0.99,11,15,4,4
长虹（CHANGHONG） 空气净化器 家用静音除甲醛雾霾二手烟PM2.5 多功能净化KJ222F-B1M 白色,长虹（CHANGHONG）,长虹（CHANGHONG） 空气净化器 家用静音除甲醛雾霾二手烟PM2.5 多功能净化KJ222F-B1M 白色,18360636304,599,1751,5,1575,1160,0.98,15,25,12,10
品森（perisor） 空气净化器家用除甲醛母婴负离子除PM2.5除异味PS01 象牙白（APP控制）,品森（perisor）,品森（perisor） 空气净化器家用除甲醛母婴负离子除PM2.5除异味PS01 象牙白（APP控制）,1635663996,2099,1779,5,1742,369,0.99,6,4,3,7
3M 汽车车载空气净化器 PN38616黑色 车用除甲醛/甲苯/TVOC/PM2.5 智能/手动,3M,3M38616,5719393,399,1726,5,1636,1374,0.99,4,1,5,4
海尔（Haier）车载空气净化器 汽车车载空气净化器CJ05B 自动检测 HEPA滤网 除甲醛异味雾 【海尔CJ05B】官方标配+2套滤网,海尔（Haier）,海尔（Haier）车载空气净化器 汽车车载空气净化器CJ05B 自动检测 HEPA滤网 除甲醛异味雾 【海尔CJ05B】官方标配+2套滤网,10585796738,648,1725,5,1427,709,0.98,9,2,8,14
海尔（Haier）车载空气净化器 汽车车载空气净化器CJ05B 自动检测 HEPA滤网 除甲醛异味雾 【海尔CJ05B】官方标配(含滤网),海尔（Haier）,海尔（Haier）车载空气净化器 汽车车载空气净化器CJ05B 自动检测 HEPA滤网 除甲醛异味雾 【海尔CJ05B】官方标配(含滤网),10582415707,399,1725,5,1427,709,0.98,9,2,8,14
华饰 汽车车载空气净化器 太阳能 香片香薰车内车用空气净化器 负离子氧吧除甲醛除异味新车汽车用品 加强版空气净化器 商务黑 空气净化,华饰,华饰 汽车车载空气净化器 太阳能 香片香薰车内车用空气净化器 负离子氧吧除甲醛除异味新车汽车用品 加强版空气净化器 商务黑 空气净化,10710919845,258,1723,5,1686,610,0.97,8,1,20,16
华饰 汽车车载空气净化器 太阳能 香片香薰车内车用空气净化器 负离子氧吧除甲醛除异味新车汽车用品 加强版空气净化器 优雅白 空气净化,华饰,华饰 汽车车载空气净化器 太阳能 香片香薰车内车用空气净化器 负离子氧吧除甲醛除异味新车汽车用品 加强版空气净化器 优雅白 空气净化,14390676303,258,1723,5,1686,610,0.97,8,1,20,16
海尔（Haier）车载空气净化器 汽车车载空气净化器CJ05B 自动检测 HEPA滤网 除甲醛异味雾 【海尔CJ05B】官方标配+1套滤网,海尔（Haier）,海尔（Haier）车载空气净化器 汽车车载空气净化器CJ05B 自动检测 HEPA滤网 除甲醛异味雾 【海尔CJ05B】官方标配+1套滤网,10582415708,574,1725,5,1427,709,0.98,9,2,8,14
布鲁雅尔Blueair空气净化器603 瑞典原产 家用办公 去除甲醛 除雾霾除PM2.5 除烟除尘,布鲁雅尔（Blueair）,布鲁雅尔603,1306983,11682,1708,5,1657,282,0.99,4,2,5,11
3M PN38516车载空气净化器滤芯 车用空气净化器 除PM2.5甲醛雾霾异味 抗雾霾 适用于(PN38616)滤芯,3M,3MPN 38516,6740559,138,1726,5,1636,1374,0.99,4,1,5,4
大金（DAIKIN）空气净化器家用加湿型 KJ270F-L01(MCK57LMV2-W) 经典白,大金（DAIKIN）,大金MCK57LMV2-W,594344,2799,1704,5,1589,511,0.97,11,7,17,21
车载空气净化器 汽车便携式负离子净化器 车内除异味甲醛pm2.5 科技白 豪华款,驰爵,车载空气净化器 汽车便携式负离子净化器 车内除异味甲醛pm2.5 科技白 豪华款,10090803973,199,1701,5,1610,130,0.98,0,0,13,15
思博润(SBREL)韩国进口滤材 配布鲁雅尔Blueair空气净化器过滤网芯 适用201 203 270E 303 300复合型 超惠版,思博润（SBREL）,思博润300经济版,1698555,198,1712,5,1518,812,0.99,5,1,4,8
小米 米家MIJIA 空气净化器滤芯 除甲醛增强版S1,米家,米家米家MIJIA 空气净化器滤芯 除甲醛增强版S1,1.00007E+11,148,1701,5,206,1491,0.98,0,0,4,0
大金（DAIKIN）空气净化器家用加湿型 KJ270F-L01(MCK57LMV2-W) 经典白,大金（DAIKIN）,大金（DAIKIN）空气净化器家用加湿型 KJ270F-L01(MCK57LMV2-W) 经典白,1540423314,2749,1704,5,1589,511,0.97,11,7,17,21
车载空气净化器 汽车便携式负离子净化器 车内除异味甲醛pm2.5 智能黑 豪华款,驰爵,车载空气净化器 汽车便携式负离子净化器 车内除异味甲醛pm2.5 智能黑 豪华款,10090803972,199,1701,5,1610,130,0.98,0,0,13,15
英国美埃（MayAir）空气净化器家用除甲醛除雾霾负离子净化器 400A 标准版,美埃（MayAir）,英国美埃（MayAir）空气净化器家用除甲醛除雾霾负离子净化器 400A 标准版,10616342986,1899,1692,5,1660,423,0.99,70,73,9,3
美国艾奥尼克（IONIC PRO）家用静音无耗材体积小10w省电除菌除雾霾空气净化器 TA500 黑色,艾奥尼克（IONIC PRO）,美国艾奥尼克（IONIC PRO）家用静音无耗材体积小10w省电除菌除雾霾空气净化器 TA500 黑色,10258158852,3980,1691,5,1637,180,0.96,33,0,23,30
美国艾奥尼克（IONIC PRO）家用静音无耗材体积小10w省电除菌除雾霾空气净化器 TA500 白色,艾奥尼克（IONIC PRO）,美国艾奥尼克（IONIC PRO）家用静音无耗材体积小10w省电除菌除雾霾空气净化器 TA500 白色,10258158851,3980,1691,5,1637,180,0.96,33,0,23,30
造梦者Dream-maker全屋F1300壁挂新风机家用新风系统净化器除甲醛除霾,造梦者（Dream-maker）,造梦者Dream-maker全屋F1300壁挂新风机家用新风系统净化器除甲醛除霾,26115617354,7999,1690,5,1507,735,0.98,61,41,10,9
造梦者新风机F1110家用壁挂新风系统空气净化器家用 除甲醛除雾霾除pm2.5,造梦者（Dream-maker）,造梦者新风机F1110家用壁挂新风系统空气净化器家用 除甲醛除雾霾除pm2.5,25985868240,4899,1690,5,1507,735,0.98,61,41,10,9
麦车饰 车载空气净化器 汽车用品车内饰品装饰车上用品超市功能小件 车载负离子空气净化器香薰,麦车饰,麦车饰 车载空气净化器 汽车用品车内饰品装饰车上用品超市功能小件 车载负离子空气净化器香薰,10616176504,98,1630,5,1550,135,0.96,9,0,29,35
京东京造 车载空气净化器  车用 除异味/除尘/除雾霾PM2.5/二手烟 便携迷你净化器 配滤芯,京东京造,京东京造JZKJ70G-CZ,7422525,399,1611,5,1467,1240,0.99,5,0,1,2
英国IAM智能空气净化器家用负离子除雾霾甲醛 CADR实测897 小京鱼APP控制KJ850F-J1,IAM,英国IAM智能空气净化器家用负离子除雾霾甲醛 CADR实测897 小京鱼APP控制KJ850F-J1,24289576047,3599,1604,5,1560,554,0.99,34,87,0,1
思博润(SBREL) 美国3M-HEPA滤材 配夏普空气净化器过滤网滤芯 FZ-Y180SFS复合型 配夏普KC-Y180SW FU-Y180SW,思博润（SBREL）,思博润FZ-Y180SFS,1229831,129,1606,5,1433,763,0.99,9,0,3,9
小米（MI）车载空气净化器智能米家空气净化器除尘异味雾霾PM2.5二手烟便携迷你车用净化器 米家车载净化器+净化器滤芯(除甲醛活性炭版),小米（MI）,小米（MI）车载空气净化器智能米家空气净化器除尘异味雾霾PM2.5二手烟便携迷你车用净化器 米家车载净化器+净化器滤芯(除甲醛活性炭版),13211110134,380.99,1582,5,990,1200,0.99,2,1,2,3
艾泊斯(AirProce)空气净化器家用除甲醛净化器除雾霾除过敏源二手烟一机多用全能净化,艾泊斯（AirProce）,艾泊斯（AirProce）AI600,42236403346,10600,1581,5,1521,699,0.99,22,7,0,5
飞利浦（PHILIPS）车载空气净化器滤网 滤芯 标配  GSF160Plus  适用GP9101,飞利浦（PHILIPS）,飞利浦GSF160P,1.00005E+11,229,1743,5,1085,1357,0.98,17,8,8,5
思博润（SBREL）配夏普空气净化器过滤网滤芯KC-Y180SW/KC-GD10-W加湿过滤网FZ-Y180MFS,思博润（SBREL）,思博润加湿过滤网FZ-Y180MFS,3472577,69,1606,5,1433,763,0.99,9,0,3,9
小米（MI）车载空气净化器智能米家空气净化器除尘异味雾霾PM2.5二手烟便携迷你车用净化器 净化器滤芯（除甲醛活性炭版）,小米（MI）,小米（MI）车载空气净化器智能米家空气净化器除尘异味雾霾PM2.5二手烟便携迷你车用净化器 净化器滤芯（除甲醛活性炭版）,13211110135,102.99,1581,5,989,1200,0.99,2,1,2,3
小米（MI）车载空气净化器智能米家空气净化器除尘异味雾霾PM2.5二手烟便携迷你车用净化器 米家车载空气净化器,小米（MI）,小米（MI）车载空气净化器智能米家空气净化器除尘异味雾霾PM2.5二手烟便携迷你车用净化器 米家车载空气净化器,13211110136,281.99,1581,5,989,1200,0.99,2,1,2,3
艾森仕（AIRESH）70S空气净化器分解除甲醛无线智能操控除雾霾除细菌除二手烟家用母婴静音 70S 科技蓝,艾森仕（AirESH）,艾森仕（AIRESH）70S空气净化器分解除甲醛无线智能操控除雾霾除细菌除二手烟家用母婴静音 70S 科技蓝,29114654227,4999,1579,5,1526,345,1,3,2,0,0
艾森仕（AIRESH）70S空气净化器分解除甲醛无线智能操控除雾霾除细菌除二手烟家用母婴静音 70S 太空灰,艾森仕（AirESH）,艾森仕（AIRESH）70S空气净化器分解除甲醛无线智能操控除雾霾除细菌除二手烟家用母婴静音 70S 太空灰,29114654228,4999,1579,5,1526,345,1,3,2,0,0
艾森仕（AIRESH）70S空气净化器分解除甲醛无线智能操控除雾霾除细菌除二手烟家用母婴静音 中效滤网（此为滤网连接，不含机器，请慎拍）,艾森仕（AirESH）,艾森仕（AIRESH）70S空气净化器分解除甲醛无线智能操控除雾霾除细菌除二手烟家用母婴静音 中效滤网（此为滤网连接，不含机器，请慎拍）,29175827315,399,1579,5,1526,345,1,3,2,0,0
艾森仕（AIRESH）70S空气净化器分解除甲醛无线智能操控除雾霾除细菌除二手烟家用母婴静音 70S 清新粉,艾森仕（AirESH）,艾森仕（AIRESH）70S空气净化器分解除甲醛无线智能操控除雾霾除细菌除二手烟家用母婴静音 70S 清新粉,29175827314,4999,1579,5,1526,345,1,3,2,0,0
ZTK适配亚都空气净化器滤芯 滤网套装双面侠组件 550F-S5/620/650F-P6PLUS,ZTK,ZTK适配亚都空气净化器滤芯 滤网套装双面侠组件 550F-S5/620/650F-P6PLUS,33626365312,498,1656,5,1582,717,0.99,6,3,5,8
远大（BROAD） 车载空气净化器 除甲醛异味雾霾PM2.5车用净化器 车用肺保FC3 深灰色,远大（BROAD）,远大（BROAD） 车载空气净化器 除甲醛异味雾霾PM2.5车用净化器 车用肺保FC3 深灰色,10069645019,290,1562,5,1337,571,0.98,14,3,15,11
远大（BROAD） 车载空气净化器 除甲醛异味雾霾PM2.5车用净化器 车用肺保FC3 白色,远大（BROAD）,远大（BROAD） 车载空气净化器 除甲醛异味雾霾PM2.5车用净化器 车用肺保FC3 白色,10069645018,290,1562,5,1337,571,0.98,14,3,15,11
飞利浦（PHILIPS）FY1417 纳米级劲护滤网滤芯 适用于空气净化器AC1216,飞利浦（PHILIPS）,飞利浦FY1417/00,7922178,298,1559,5,964,1210,0.98,6,5,9,5
复旦申花 空气净化器家用负离子网无耗材除甲醛pm2.5 AC-0231 白色,复旦申花,复旦申花 空气净化器家用负离子网无耗材除甲醛pm2.5 AC-0231 白色,10364872344,1958,1559,5,1548,66,0.99,12,6,0,3
美的（Midea）空气净化器家用卧室负离子除甲醛雾霾二手烟pm2.5除烟除尘氧吧KJ210G-C46,美的（Midea）,美的（Midea）KJ210G-C46,11122906168,699,1553,5,1166,855,0.99,26,38,5,3
贝尔克 （Berk）空气净化器 家用ffu新风除甲醛办公室杀菌商用过滤二手烟雾霾PM2.5 KJ1200F-D83【预售10月15日发】,贝尔克,贝尔克 （Berk）空气净化器 家用ffu新风除甲醛办公室杀菌商用过滤二手烟雾霾PM2.5 KJ1200F-D83【预售10月15日发】,28299437961,2599,1537,5,1368,359,0.99,9,2,4,1
飞利浦（PHILIPS）车载空气净化器 除PM2.5 过滤异味烟味 空气质量提醒 杯座式安装 Slimline230,飞利浦（PHILIPS）,飞利浦Slimline230,2302036,639,1538,5,1283,884,0.98,20,9,8,6
富士通（fujitsu）空气净化器ACSQ360D-N 无耗材加湿型静音办公家用新国标除甲醛F4 除雾霾P4 香槟金,富士通（fujitsu）,富士通ACSQ360D-N,4493667,3399,1530,5,1475,160,0.97,10,4,9,22
日本富士通（Fujitsu）无耗材加湿空气净化器家用除甲醛除雾霾杀菌除异味除过敏源ACSQ360D 香槟金,富士通（Fujitsu）,日本富士通（Fujitsu）无耗材加湿空气净化器家用除甲醛除雾霾杀菌除异味除过敏源ACSQ360D 香槟金,1521619471,3398,1530,5,1475,160,0.97,10,4,9,22
英国美埃（MayAir）空气净化器家用除甲醛除雾霾负离子净化器 400A 标准版+配套滤网,美埃（MayAir）,英国美埃（MayAir）空气净化器家用除甲醛除雾霾负离子净化器 400A 标准版+配套滤网,10634058476,2299,1692,5,1660,423,0.99,70,73,9,3
远大 移动空气净化器防PM2.5防雾霾防甲醛防花粉电动口罩FB2便携式空气净化器FB2 FB移动肺保1台 移动肺保一台,远大（BROAD）,远大 移动空气净化器防PM2.5防雾霾防甲醛防花粉电动口罩FB2便携式空气净化器FB2 FB移动肺保1台 移动肺保一台,14574260063,168,1528,5,1395,376,0.95,9,4,30,37
思博润(SBREL)美国3M-HEPA滤材 配布鲁雅尔Blueair空气净化器过滤网滤芯 适用402 403 450E 410B 400复合型,思博润（SBREL）,思博润400,1214041,279,1514,5,1347,951,0.99,9,29,1,6
飞利浦（PHILIPS）车载空气净化器 高效净化TVOC 除pm2.5颗粒物 灵动系列 Slimline200,飞利浦（PHILIPS）,飞利浦灵动系列车载空气净化器,1329284,559,1513,5,1301,569,0.97,9,2,12,24
海尔母婴空气净化器家用 除甲醛 驱蚊去二手烟雾霾pm2.5客厅卧室办公室负离子氧吧手机APP智能控制 【豪华套餐】KJ225F-HY01+赠3年滤芯卡,海尔（Haier）,海尔母婴空气净化器家用 除甲醛 驱蚊去二手烟雾霾pm2.5客厅卧室办公室负离子氧吧手机APP智能控制 【豪华套餐】KJ225F-HY01+赠3年滤芯卡,31758464150,999,1508,5,603,1147,0.99,8,6,1,2
,,,,,,,,,,,,,
森米（samme） JHQ-801负离子氧吧 负离子净化器  负离子发生器 迷你 无臭氧 白色,森米（samme）,森米（samme） JHQ-801负离子氧吧 负离子净化器  负离子发生器 迷你 无臭氧 白色,10200246403,58,1473,5,1254,746,0.97,8,5,10,21
瑞德摩尔 空气消毒机除味器臭氧发生器卫生间除臭器空气净化器除甲醛厕所杀菌消毒宠物去异味去烟味神器家用 除臭消毒机【定时关机款】,瑞德摩尔,瑞德摩尔 空气消毒机除味器臭氧发生器卫生间除臭器空气净化器除甲醛厕所杀菌消毒宠物去异味去烟味神器家用 除臭消毒机【定时关机款】,53608448888,138,1476,5,1188,282,0.99,18,4,2,4
森米（samme） JHQ-801负离子氧吧 负离子净化器  负离子发生器 迷你 无臭氧 粉红色,森米（samme）,森米（samme） JHQ-801负离子氧吧 负离子净化器  负离子发生器 迷你 无臭氧 粉红色,10199083818,58,1473,5,1254,746,0.97,8,5,10,21
【京东速递配送】英凯仕智能空气净化器家用卧室室内遥控操控预约定时除烟除尘PM2.5除雾霾氧吧除雾霾 黑控制面板【极力推荐】T07单,英凯仕,【京东速递配送】英凯仕智能空气净化器家用卧室室内遥控操控预约定时除烟除尘PM2.5除雾霾氧吧除雾霾 黑控制面板【极力推荐】T07单,31018427680,249,1488,5,1194,1147,0.99,8,8,2,5
ZTK 适配亚都空气净化器滤网 滤芯 适配KJF2801N/2801S/2801A,ZTK,ZTK 适配亚都空气净化器滤网 滤芯 适配KJF2801N/2801S/2801A,11116878107,198,1476,5,1351,837,0.99,18,0,1,2
大金（DAIKIN）空气净化器家用加强型 KJ421F-N01(MC71NV2C-W) 白色,大金（DAIKIN）,大金MC71NV2C-W,775375,2799,1466,5,1320,508,0.97,3,5,11,18
瑞德摩尔 空气消毒机除味器臭氧发生器卫生间除臭器空气净化器除甲醛厕所杀菌消毒宠物去异味去烟味神器家用 除臭消毒机,瑞德摩尔,瑞德摩尔 空气消毒机除味器臭氧发生器卫生间除臭器空气净化器除甲醛厕所杀菌消毒宠物去异味去烟味神器家用 除臭消毒机,47234463151,128,1476,5,1188,282,0.99,18,4,2,4
ZTK 适配亚都空气净化器滤网 滤芯 适配KJG200W/AS/240C/230,ZTK,ZTK 适配亚都空气净化器滤网 滤芯 适配KJG200W/AS/240C/230,11891847478,158,1476,5,1351,837,0.99,18,0,1,2
【京东速递配送】英凯仕智能空气净化器家用卧室室内遥控操控预约定时除烟除尘PM2.5除雾霾氧吧除雾霾 黑色款控制面板+滤网【性价比之选】T07双,英凯仕,【京东速递配送】英凯仕智能空气净化器家用卧室室内遥控操控预约定时除烟除尘PM2.5除雾霾氧吧除雾霾 黑色款控制面板+滤网【性价比之选】T07双,31018427681,299,1488,5,1194,1147,0.99,8,8,2,5
ZTK 适配亚都空气净化器滤网 滤芯 KJG300AS-TGS/3001AS/302A,ZTK,ZTK 适配亚都空气净化器滤网 滤芯 KJG300AS-TGS/3001AS/302A,11048909489,298,1476,5,1351,837,0.99,18,0,1,2
ZTK 适配亚都空气净化器滤网 滤芯 KJG2016CW/2018DG/2025LW,ZTK,ZTK 适配亚都空气净化器滤网 滤芯 KJG2016CW/2018DG/2025LW,20291511718,268,1476,5,1351,837,0.99,18,0,1,2
ZTK 适配亚都空气净化器滤网 滤芯 适配KJF3688/KJF3666CW,ZTK,ZTK 适配亚都空气净化器滤网 滤芯 适配KJF3688/KJF3666CW,20291511717,468,1476,5,1351,837,0.99,18,0,1,2
