"会员","级别","评价星级","评价内容","时间","点赞数","评论数","追评时间","追评内容","商品属性","页面网址","页面标题","采集时间"
"倒霉石头","PLUS会员","star5","外形设计：真的很漂亮，至简之美。操作难易：操作很简单，用app更方便。整个机身没有扶手是个败笔，搬运费力。","2019-09-30 00:57","0","0",,,"米家空气净化器pro                                                                     ","https://item.jd.com/5487565.html#comment","【米家米家空气净化器2S】米家 空气净化器2S 除雾霾 除甲醛 空气质量屏幕显示 三层净化AC-M4-AA 29W 小米空气净化器【行情 报价 价格 评测】-京东","2019-10-15 20:48:19.9268853"
"老头爱唱歌","PLUS会员","star5","外形设计：一直很喜欢米家的东西，简约时尚净化效果：很好噪音大小：声音也很小","2019-09-22 21:19","0","0",,,"【新品】米家空气净化器3                                                                     ","https://item.jd.com/5487565.html#comment","【米家米家空气净化器2S】米家 空气净化器2S 除雾霾 除甲醛 空气质量屏幕显示 三层净化AC-M4-AA 29W 小米空气净化器【行情 报价 价格 评测】-京东","2019-10-15 20:48:19.9737609"
"亵渎PT",,"star5","净化效果：净化效果特别好。噪音大小：三档可以调节 外形设计：简单简约","2019-10-02 16:13","0","0",,,"米家空气净化器pro                                                                     ","https://item.jd.com/5487565.html#comment","【米家米家空气净化器2S】米家 空气净化器2S 除雾霾 除甲醛 空气质量屏幕显示 三层净化AC-M4-AA 29W 小米空气净化器【行情 报价 价格 评测】-京东","2019-10-15 20:48:20.0256204"
"蜡笔小新的眼睛","PLUS会员","star5","京东的速度特别快 东西也挺好 小米用着很舒服 家里好几个小米了 这款比较大 适合放在客厅 有三种模式 自动 睡眠 最爱 。最爱可以选风力 这款对烟味很敏感 抽烟的话一会就开最大了 适合家庭聚会 人多使用。","2019-07-27 07:25","0","1",,,"小米空气净化器pro                                                                     ","https://item.jd.com/5487565.html#comment","【米家米家空气净化器2S】米家 空气净化器2S 除雾霾 除甲醛 空气质量屏幕显示 三层净化AC-M4-AA 29W 小米空气净化器【行情 报价 价格 评测】-京东","2019-10-15 20:48:20.0744937"
"昵***哎","PLUS会员","star5","很不错，很棒。小米的产品一如既往的简洁，设计看起来很大方，空气净化器用起来效果还不错，有三种模式可以选择，睡眠模式很安静，自动模式，还有一个最爱模式，最爱模式里面可以设置房间的面积，很不错的，还可以显示湿度。","2019-08-26 17:51","0","0",,,"小米空气净化器2S                                                                     ","https://item.jd.com/5487565.html#comment","【米家米家空气净化器2S】米家 空气净化器2S 除雾霾 除甲醛 空气质量屏幕显示 三层净化AC-M4-AA 29W 小米空气净化器【行情 报价 价格 评测】-京东","2019-10-15 20:48:20.1285151"
"S***然","PLUS会员","star5","小米的产品质量很好，感觉买的很值，价格方面相对其他平台很公道。值得推荐。再说说产品本身，很不错的，智能化程度很高，款式也不错，打开时声音不算大，除甲醛功能体现的不是很好，如果有语音对话功能会好很多。总体来说，还是很不的。","2019-07-12 16:18","0","0",,,"小米空气净化器2S                                                                     ","https://item.jd.com/5487565.html#comment","【米家米家空气净化器2S】米家 空气净化器2S 除雾霾 除甲醛 空气质量屏幕显示 三层净化AC-M4-AA 29W 小米空气净化器【行情 报价 价格 评测】-京东","2019-10-15 20:48:20.1813817"
"小***跳","PLUS会员","star5","空气净化器用的非常好，运行安静，省电节能，设计非常漂亮，白色的给人一种优雅的感觉，小米设计的挺好，真不错","2019-07-12 10:51","0","0",,,"小米空气净化器2S                                                                     ","https://item.jd.com/5487565.html#comment","【米家米家空气净化器2S】米家 空气净化器2S 除雾霾 除甲醛 空气质量屏幕显示 三层净化AC-M4-AA 29W 小米空气净化器【行情 报价 价格 评测】-京东","2019-10-15 20:48:20.2591301"
"1***y",,"star5","一直都想买这款，看着有活动就果断下手，效果没有自己想的好，自己是新买的房，以为会除甲醛，结果就除PM2.5的，这个效果还是很明显的，别的没一点作用都没～如果家里有人抽烟，想改善空气，还可以考虑入手，除甲醛就算了，没用、设计的科技感挺强，也好看，声音也很小，还有滤芯提示，模式提醒，很人性化，考虑入手的，多考虑～","2019-06-09 22:55","1","4",,,"小米空气净化器pro                                                                     ","https://item.jd.com/5487565.html#comment","【米家米家空气净化器2S】米家 空气净化器2S 除雾霾 除甲醛 空气质量屏幕显示 三层净化AC-M4-AA 29W 小米空气净化器【行情 报价 价格 评测】-京东","2019-10-15 20:48:20.3153455"
"小***0",,"star5","很好哦，样子也好看。看了好几款最后决定买这个，感觉性价比高，因为客厅比较大，老公抽样太臭了，用了这个几分钟就可以过滤掉大部分烟味，很满意。","2019-04-09 11:14","0","0",,,"小米空气净化器pro                                                                     ","https://item.jd.com/5487565.html#comment","【米家米家空气净化器2S】米家 空气净化器2S 除雾霾 除甲醛 空气质量屏幕显示 三层净化AC-M4-AA 29W 小米空气净化器【行情 报价 价格 评测】-京东","2019-10-15 20:48:35.5068457"
"幻***影","PLUS会员","star5","非常不错的一款空气净化器，已经用上了，声音比较小，很安静，风力也不错，期待往后的使用效果！京东物流就是快，配送迅速，好评，感谢快递小哥！","2019-06-25 09:53","1","0",,,"小米空气净化器2S                                                                     ","https://item.jd.com/5487565.html#comment","【米家米家空气净化器2S】米家 空气净化器2S 除雾霾 除甲醛 空气质量屏幕显示 三层净化AC-M4-AA 29W 小米空气净化器【行情 报价 价格 评测】-京东","2019-10-15 20:48:35.5676828"
"jd151123pzx",,"star5","对米家的宝贝真的爱到不行，有了宝宝后，屋里面的空气是我一直很关注的，买了后抱着试试的心态，就爱上了，有一点点油烟味道，它就疯狂转动，很喜欢睡眠模式，非常静音运作，不知道是我心理问题还是真的好用，自从用了后我的鼻炎几乎没犯过，差不多一个月的时间了……","2019-06-30 21:18","0","0",,,"小米空气净化器2S                                                                     ","https://item.jd.com/5487565.html#comment","【米家米家空气净化器2S】米家 空气净化器2S 除雾霾 除甲醛 空气质量屏幕显示 三层净化AC-M4-AA 29W 小米空气净化器【行情 报价 价格 评测】-京东","2019-10-15 20:48:35.6195439"
"沙***克","PLUS会员","star5","搞活动时候买的，优惠了很多，s的好处就在于有个液晶屏幕，可以实时看到温度和湿度，放在小孩子的房间里，非常的方便。搭配小米的程序可以远程进行操作，真正实现智能家居","2019-07-19 10:15","0","0",,,"小米空气净化器2S                                                                     ","https://item.jd.com/5487565.html#comment","【米家米家空气净化器2S】米家 空气净化器2S 除雾霾 除甲醛 空气质量屏幕显示 三层净化AC-M4-AA 29W 小米空气净化器【行情 报价 价格 评测】-京东","2019-10-15 20:48:35.6694728"
"j***5","PLUS会员","star5","空气净化器颜值很高，小巧不占地方，放在了桌面上。真的静音，晚上睡觉一点声音没有，晚上点着，室内空气很好，给妈妈使用的，妈妈对味道非常敏感。","2019-06-27 18:44","0","0",,,"小米空气净化器2S                                                                     ","https://item.jd.com/5487565.html#comment","【米家米家空气净化器2S】米家 空气净化器2S 除雾霾 除甲醛 空气质量屏幕显示 三层净化AC-M4-AA 29W 小米空气净化器【行情 报价 价格 评测】-京东","2019-10-15 20:48:35.7213341"
"詩與遠方灬","PLUS会员","star5","挺好的，挺不错的，好评，挺小巧，不重，使用起来很方便！！！！！！！！！！超级nice！！！！！！强烈推荐！！！！！！可以有效的净化空气，对甲醛的净化挺好的，适合刚装修的时候使用！！！！！屏幕显示可以有效的让你知道现在机器以及周边的情况！！！！！！","2019-07-24 17:23","0","0",,,"小米空气净化器2S                                                                     ","https://item.jd.com/5487565.html#comment","【米家米家空气净化器2S】米家 空气净化器2S 除雾霾 除甲醛 空气质量屏幕显示 三层净化AC-M4-AA 29W 小米空气净化器【行情 报价 价格 评测】-京东","2019-10-15 20:48:35.7921502"
"静***0","PLUS会员","star5","装修完虽然除了两次甲醛，但是味道仍然很大，看了很多空气净化器，觉得小米性价比很高。在活动期间买了两台净化器加一个滤芯，同样的价格只能买其他品牌一台。而且效果很好，并且自带显示屏显示数据。在连续使用天后，空气质量明显好转","2019-08-12 09:47","0","0",,,"小米空气净化器2S                                                                     ","https://item.jd.com/5487565.html#comment","【米家米家空气净化器2S】米家 空气净化器2S 除雾霾 除甲醛 空气质量屏幕显示 三层净化AC-M4-AA 29W 小米空气净化器【行情 报价 价格 评测】-京东","2019-10-15 20:48:35.8549947"
"d***8",,"star5","收到后赶紧打开，使用后感觉鼻子舒服很多，很喜欢米家的风格，高端大气上档次，声音小功能强大。期待小米能出更多新品！","2018-12-18 09:02","2","0",,,"小米空气净化器pro                                                                     ","https://item.jd.com/5487565.html#comment","【米家米家空气净化器2S】米家 空气净化器2S 除雾霾 除甲醛 空气质量屏幕显示 三层净化AC-M4-AA 29W 小米空气净化器【行情 报价 价格 评测】-京东","2019-10-15 20:48:35.9168306"
"z***p",,"star5","朋友用了一段时间后推荐给我的，声音很轻，感应很灵敏，使用后家里的空气也变的更清新了，买了一台试用了一晚立马就又买了一台，小巧不占地方，性价比高，我也会推荐给朋友们的！","2019-03-06 23:09","1","0",,,"小米空气净化器2S                                                                     ","https://item.jd.com/5487565.html#comment","【米家米家空气净化器2S】米家 空气净化器2S 除雾霾 除甲醛 空气质量屏幕显示 三层净化AC-M4-AA 29W 小米空气净化器【行情 报价 价格 评测】-京东","2019-10-15 20:48:35.9776669"
"蓝***飐","PLUS会员","star5","还是很好用，首先买来自己把线拿出来插上就可以了。出人意料的还有湿度和温度传感器，这样不用再买单独的模块。个人喜欢打到睡眠模式，因为这样声音几乎听不见，而且家里确实空气不差……不开空调不会超过10（应该要清洗空调了）。用起来很满意，等新房子装修好了换个甲醛滤芯帮我过滤～手机APP的界面也很友好。","2019-08-30 23:17","0","0",,,"小米空气净化器2S                                                                     ","https://item.jd.com/5487565.html#comment","【米家米家空气净化器2S】米家 空气净化器2S 除雾霾 除甲醛 空气质量屏幕显示 三层净化AC-M4-AA 29W 小米空气净化器【行情 报价 价格 评测】-京东","2019-10-15 20:48:36.0417830"
"科***祖",,"star5","给父母买的空气净化器，用自动模式或者睡眠模式噪音很小，完全不会影响到睡眠，连接手机app空气数据一目了然，机器重量合适，方便搬运，外观设计也很大方。","2019-02-13 09:45","2","0",,,"小米空气净化器pro                                                                     ","https://item.jd.com/5487565.html#comment","【米家米家空气净化器2S】米家 空气净化器2S 除雾霾 除甲醛 空气质量屏幕显示 三层净化AC-M4-AA 29W 小米空气净化器【行情 报价 价格 评测】-京东","2019-10-15 20:48:51.2487359"
"n***2","PLUS会员","star5","小米的东西确实不错、这款放在卧室里非常小巧、不占空间、而且放在自动模式、声音很小，尤其是可以用过APP实时监控、不错?。","2019-02-03 09:09","1","0",,,"小米空气净化器2S                                                                     ","https://item.jd.com/5487565.html#comment","【米家米家空气净化器2S】米家 空气净化器2S 除雾霾 除甲醛 空气质量屏幕显示 三层净化AC-M4-AA 29W 小米空气净化器【行情 报价 价格 评测】-京东","2019-10-15 20:48:51.3111261"
"楠***楠","PLUS会员","star5","外观有型，操作方便，包装完美，体型小巧，真的很静音，晚上睡觉都听不到，手机上链接 好了之后，出门在外提前打开净化一下。完美。小米不错。","2019-05-25 18:40","0","0",,,"小米空气净化器2S                                                                     ","https://item.jd.com/5487565.html#comment","【米家米家空气净化器2S】米家 空气净化器2S 除雾霾 除甲醛 空气质量屏幕显示 三层净化AC-M4-AA 29W 小米空气净化器【行情 报价 价格 评测】-京东","2019-10-15 20:48:51.3649580"
"m***8","PLUS会员","star5","外观颜值很高，出风口进风口都是肉眼可见非常多，只不过最近空气比较好，给新装修房屋除甲醛用，同类产品这一款价格还是非常实惠的，风量也很大，换滤芯非常方便，轻压后盖就能看见滤芯，噪音控制也很好，不会特别吵，希望体积再小一些，比较省空间。","2019-08-22 19:16","0","0",,,"小米空气净化器2S                                                                     ","https://item.jd.com/5487565.html#comment","【米家米家空气净化器2S】米家 空气净化器2S 除雾霾 除甲醛 空气质量屏幕显示 三层净化AC-M4-AA 29W 小米空气净化器【行情 报价 价格 评测】-京东","2019-10-15 20:48:51.4208325"
"S***呵","PLUS会员","star5","送货及时，产品质量不错。手感好，很轻。平时使用很静音，滤芯更换起来很方便，性价比很高","2019-05-28 08:24","0","0",,,"小米空气净化器pro                                                                     ","https://item.jd.com/5487565.html#comment","【米家米家空气净化器2S】米家 空气净化器2S 除雾霾 除甲醛 空气质量屏幕显示 三层净化AC-M4-AA 29W 小米空气净化器【行情 报价 价格 评测】-京东","2019-10-15 20:48:51.4736557"
"博***生","PLUS会员","star5","室温29度，搭配风扇来用，感觉很舒适，不开窗户不开门也没有异味，挺好！","2019-06-30 14:21","1","0",,,"小米空气净化器2S                                                                     ","https://item.jd.com/5487565.html#comment","【米家米家空气净化器2S】米家 空气净化器2S 除雾霾 除甲醛 空气质量屏幕显示 三层净化AC-M4-AA 29W 小米空气净化器【行情 报价 价格 评测】-京东","2019-10-15 20:48:51.5351273"
"1***p",,"star5","很小巧，搬动方便，只是多个搬动的把手就更人性化了。最高档声音很大，有显示屏很好，指标一目了然！颜色我喜欢，很干净！总之，还算满意！","2018-11-21 10:16","5","1",,,"小米空气净化器2S                                                                     ","https://item.jd.com/5487565.html#comment","【米家米家空气净化器2S】米家 空气净化器2S 除雾霾 除甲醛 空气质量屏幕显示 三层净化AC-M4-AA 29W 小米空气净化器【行情 报价 价格 评测】-京东","2019-10-15 20:48:51.6019479"
"l***g","PLUS会员","star5","用了两周时间了，目前显示的滤芯寿命98%，使用下来优点是夜晚模式的静音效果很赞，非常安静。因为使用的是原配的滤芯，只能过滤颗粒物，没有过滤甲醛的功能。","2019-05-28 13:59","0","0",,,"小米空气净化器2S                                                                     ","https://item.jd.com/5487565.html#comment","【米家米家空气净化器2S】米家 空气净化器2S 除雾霾 除甲醛 空气质量屏幕显示 三层净化AC-M4-AA 29W 小米空气净化器【行情 报价 价格 评测】-京东","2019-10-15 20:48:51.6637778"
"遗落泡沫","PLUS会员","star5","很好用啊，高层空气质量不好，然后用了净化器，天天呼吸新鲜的空气，整个人都精神了，哈哈。很好用，APP也很好，哈哈，忘了关机，都是在办公室，操作，开关机，回到家，就能呼吸新鲜的空气，超级方便","2019-03-31 20:57","2","0",,,"小米空气净化器pro                                                                     ","https://item.jd.com/5487565.html#comment","【米家米家空气净化器2S】米家 空气净化器2S 除雾霾 除甲醛 空气质量屏幕显示 三层净化AC-M4-AA 29W 小米空气净化器【行情 报价 价格 评测】-京东","2019-10-15 20:48:51.7266086"
"2***m","PLUS会员","star5","很好很好，睡眠模式基本无声，其实就是一个进气，经过滤网再加一个风扇出气，很简单。不过这也是大概最便宜的了","2019-01-06 13:15","0","0",,,"小米空气净化器2S                                                                     ","https://item.jd.com/5487565.html#comment","【米家米家空气净化器2S】米家 空气净化器2S 除雾霾 除甲醛 空气质量屏幕显示 三层净化AC-M4-AA 29W 小米空气净化器【行情 报价 价格 评测】-京东","2019-10-15 20:48:51.7964220"
"r***g","PLUS会员","star5","体积很小很可爱，声音也比较轻，造型也挺好看。基本上没什么问题，安装也非常简单。总体好评。","2019-06-16 13:24","0","0",,,"小米空气净化器2S                                                                     ","https://item.jd.com/5487565.html#comment","【米家米家空气净化器2S】米家 空气净化器2S 除雾霾 除甲醛 空气质量屏幕显示 三层净化AC-M4-AA 29W 小米空气净化器【行情 报价 价格 评测】-京东","2019-10-15 20:49:06.9883999"
"人丑就要多读书哦","PLUS会员","star5","我感觉小米除了手机做的不好其它的做的都很好。很信任小米手机之外的东西。之前买过小米温度计，小米体脂秤等，现在要搬新家买个空气净化器。看着不错。个头也很大，挺智能的，我们家附近绿化还可以。所以没有出现空气很糟糕的情况。但是买一个用，心里舒服。买个安心。","2019-06-22 16:19","0","1",,,"小米空气净化器pro                                                                     ","https://item.jd.com/5487565.html#comment","【米家米家空气净化器2S】米家 空气净化器2S 除雾霾 除甲醛 空气质量屏幕显示 三层净化AC-M4-AA 29W 小米空气净化器【行情 报价 价格 评测】-京东","2019-10-15 20:49:07.0589223"
"j***x","PLUS会员","star5","物美价廉，颜值高，卧室放合适，提高睡眠质量，睡眠模式无噪音，灯光自熄，很人性化，值得出手。","2019-01-24 22:08","0","0",,,"小米空气净化器2S                                                                     ","https://item.jd.com/5487565.html#comment","【米家米家空气净化器2S】米家 空气净化器2S 除雾霾 除甲醛 空气质量屏幕显示 三层净化AC-M4-AA 29W 小米空气净化器【行情 报价 价格 评测】-京东","2019-10-15 20:49:07.1144770"
"成***2","PLUS会员","star5","操作简单，外观大方，滤芯厚实！家里大人小孩都会操作！很方便，声音静！","2019-07-20 14:50","0","0","[购买61天后追评]","用过之后很不错哦，下次再来买了，京东送货就是快。","小米空气净化器2S                                                                     ","https://item.jd.com/5487565.html#comment","【米家米家空气净化器2S】米家 空气净化器2S 除雾霾 除甲醛 空气质量屏幕显示 三层净化AC-M4-AA 29W 小米空气净化器【行情 报价 价格 评测】-京东","2019-10-15 20:49:07.1731509"
"131*****861_p","PLUS会员","star5","超级棒，开始的时候pm70多，一天一夜，10以内了，主要床上的颗粒真的少了很多很多了，不然，每天都有毛，我还以为我洗完澡衣服上的","2019-04-30 02:44","2","0",,,"小米空气净化器2S                                                                     ","https://item.jd.com/5487565.html#comment","【米家米家空气净化器2S】米家 空气净化器2S 除雾霾 除甲醛 空气质量屏幕显示 三层净化AC-M4-AA 29W 小米空气净化器【行情 报价 价格 评测】-京东","2019-10-15 20:49:07.2309551"
"西***期",,"star5","下午买第二天上午送，物流超快，包装简洁方便，净化器外观时尚，手机操作简单，噪音小，亲测有效，提高生活质量推荐购买！","2019-02-25 11:58","0","0",,,"小米空气净化器2S                                                                     ","https://item.jd.com/5487565.html#comment","【米家米家空气净化器2S】米家 空气净化器2S 除雾霾 除甲醛 空气质量屏幕显示 三层净化AC-M4-AA 29W 小米空气净化器【行情 报价 价格 评测】-京东","2019-10-15 20:49:07.2977405"
"J***2","PLUS会员","star5","小米--科技改变生活！哈哈！相信京东，相信小米！自动模式下，声音非常小，空气指数良好的情况下，声音可以忽略不计！当突然点上一根烟，哈哈，灵敏的传感器立马检测到空气污浊，让机器迅速高速运转，直到空气指数达标！不错，再搭配上小米音箱，智能互联，哇塞了！","2019-01-17 18:29","0","1",,,"小米空气净化器pro                                                                     ","https://item.jd.com/5487565.html#comment","【米家米家空气净化器2S】米家 空气净化器2S 除雾霾 除甲醛 空气质量屏幕显示 三层净化AC-M4-AA 29W 小米空气净化器【行情 报价 价格 评测】-京东","2019-10-15 20:49:07.3585798"
"珍***3",,"star5","货到了，像个加打大版的小爱同学，很简洁，很智能，很不错。自动模式下声音比较大。快递员很给力，我家三楼，一个女的扛着就给我送上楼了！很厉害！是我网购七八年第一次有人给我送上楼的！很好，给快递员五星好评！","2019-01-12 09:03","2","0",,,"小米空气净化器pro                                                                     ","https://item.jd.com/5487565.html#comment","【米家米家空气净化器2S】米家 空气净化器2S 除雾霾 除甲醛 空气质量屏幕显示 三层净化AC-M4-AA 29W 小米空气净化器【行情 报价 价格 评测】-京东","2019-10-15 20:49:07.4204126"
"jd程慧bjk",,"star5","外形设计：好看净化效果：不错噪音大小：可以调节操作难易：非常简单","2019-09-23 12:20","0","0",,,,"https://item.jd.com/5487565.html#comment","【米家米家空气净化器2S】米家 空气净化器2S 除雾霾 除甲醛 空气质量屏幕显示 三层净化AC-M4-AA 29W 小米空气净化器【行情 报价 价格 评测】-京东","2019-10-15 20:49:07.4835777"
"官方抬价经理","PLUS会员","star5","循环量可以，换个去甲醛的滤芯就可以实现不同功能，噪音小，手机控制，很不错。","2019-06-26 20:38","1","0",,,"小米空气净化器pro                                                                     ","https://item.jd.com/5487565.html#comment","【米家米家空气净化器2S】米家 空气净化器2S 除雾霾 除甲醛 空气质量屏幕显示 三层净化AC-M4-AA 29W 小米空气净化器【行情 报价 价格 评测】-京东","2019-10-15 20:49:07.5484067"
"青***8",,"star5","昨天下单今天就收到货，为京东的物流点赞。打开包装，插上插头，很快就开始工作了。东西很赞。也很静音。窗外的雾霾天，室内有小米空气净化器很安心。科技改变生活","2019-01-16 20:13","0","0",,,"小米空气净化器2S                                                                     ","https://item.jd.com/5487565.html#comment","【米家米家空气净化器2S】米家 空气净化器2S 除雾霾 除甲醛 空气质量屏幕显示 三层净化AC-M4-AA 29W 小米空气净化器【行情 报价 价格 评测】-京东","2019-10-15 20:49:22.7494554"
"小***o",,"star5","电风扇挺好的，风很大，这样在宿舍挂床帘也不觉得热了。自从买了这个我又买了小米的空调伴侣和温湿度传感器。这样就能联动调整冷热了。热了就把空气净化器开成最爱模式。冷了就自动用小米手机跑分","2018-12-09 08:00","23","4",,,"小米空气净化器2S                                                                     ","https://item.jd.com/5487565.html#comment","【米家米家空气净化器2S】米家 空气净化器2S 除雾霾 除甲醛 空气质量屏幕显示 三层净化AC-M4-AA 29W 小米空气净化器【行情 报价 价格 评测】-京东","2019-10-15 20:49:22.8203442"
"t***x","PLUS会员","star5","很漂亮，功能也很强大，可以实时显示空气质量和滤芯寿命，操作起来也方便，很好！","2019-04-25 20:36","0","0",,,"小米空气净化器2S                                                                     ","https://item.jd.com/5487565.html#comment","【米家米家空气净化器2S】米家 空气净化器2S 除雾霾 除甲醛 空气质量屏幕显示 三层净化AC-M4-AA 29W 小米空气净化器【行情 报价 价格 评测】-京东","2019-10-15 20:49:22.8801402"
"侯晓洁1201",,"star5","大小合适，不占地方，可以用手机远程控制，也可以用小爱同学控制，操作起来很方便，刚打开时PM2.5值显示一百多，几分钟后就一直保持二十多。家里有小宝宝，老人又喜欢在家抽烟，用了之后放心多了。","2019-06-23 12:56","0","0",,,"小米空气净化器pro                                                                     ","https://item.jd.com/5487565.html#comment","【米家米家空气净化器2S】米家 空气净化器2S 除雾霾 除甲醛 空气质量屏幕显示 三层净化AC-M4-AA 29W 小米空气净化器【行情 报价 价格 评测】-京东","2019-10-15 20:49:22.9429720"
"jingdong_shl","PLUS会员","star5","买的时间比较好，价格很实惠，用起来很方便，空气质量不好的情况下，开启最大模式几分钟就可以降下来，使用方便，操作简单。","2019-05-19 11:33","0","0",,,"小米空气净化器pro                                                                     ","https://item.jd.com/5487565.html#comment","【米家米家空气净化器2S】米家 空气净化器2S 除雾霾 除甲醛 空气质量屏幕显示 三层净化AC-M4-AA 29W 小米空气净化器【行情 报价 价格 评测】-京东","2019-10-15 20:49:23.0094815"
"A***e","PLUS会员","star5","外观讨喜效果出众，抽了根烟室内pm2.5立马直线上升，净化功能还是很强的，以后室内抽烟可以少吸点二手烟了。好评。","2019-01-06 13:49","0","0",,,"小米空气净化器2S                                                                     ","https://item.jd.com/5487565.html#comment","【米家米家空气净化器2S】米家 空气净化器2S 除雾霾 除甲醛 空气质量屏幕显示 三层净化AC-M4-AA 29W 小米空气净化器【行情 报价 价格 评测】-京东","2019-10-15 20:49:23.0733466"
"jd_186123sgg","PLUS会员","star5","声音不大，顶部有风，和风扇运行起来差不多吧，展示空气质量还不错，评价也高，外观也很漂亮！物流够快，小哥特别有礼貌，等了我们半天，还给送货上门了","2019-08-24 14:42","1","0",,,"【新品】米家空气净化器3                                                                     ","https://item.jd.com/5487565.html#comment","【米家米家空气净化器2S】米家 空气净化器2S 除雾霾 除甲醛 空气质量屏幕显示 三层净化AC-M4-AA 29W 小米空气净化器【行情 报价 价格 评测】-京东","2019-10-15 20:49:23.1321570"
"多***8",,"star5","超级好，老爸烟瘾大家里烟味很大，净化器打开二档，没一会儿全把烟味吸掉了，瞬间感觉空气清爽","2019-01-24 14:18","2","0",,,"小米净化器MAX                                                                     ","https://item.jd.com/5487565.html#comment","【米家米家空气净化器2S】米家 空气净化器2S 除雾霾 除甲醛 空气质量屏幕显示 三层净化AC-M4-AA 29W 小米空气净化器【行情 报价 价格 评测】-京东","2019-10-15 20:49:23.1969785"
"z***p",,"star5","机身小巧不占地方，声音很轻，净化效果还是很不错的，反应很灵敏，手机APP上设置也很方便的，以前在~_上买东西都是系统自动好评的，基本没有认真评价过，不知道浪费了多少积分，现在才知道~评论积分可以涨气质，这才知道好评的重要性，东西非常好，是正品，包装用心，和图片一样好！","2019-03-04 22:22","0","0",,,"小米空气净化器2S                                                                     ","https://item.jd.com/5487565.html#comment","【米家米家空气净化器2S】米家 空气净化器2S 除雾霾 除甲醛 空气质量屏幕显示 三层净化AC-M4-AA 29W 小米空气净化器【行情 报价 价格 评测】-京东","2019-10-15 20:49:23.2628040"
"米***3","PLUS会员","star5","感觉不到在吹风，风很小。屏幕显示温度和pm2.5的值，无线控制太方便了，下班提前遥控打开棒棒的！","2019-02-11 23:05","2","0",,,"小米空气净化器2S                                                                     ","https://item.jd.com/5487565.html#comment","【米家米家空气净化器2S】米家 空气净化器2S 除雾霾 除甲醛 空气质量屏幕显示 三层净化AC-M4-AA 29W 小米空气净化器【行情 报价 价格 评测】-京东","2019-10-15 20:49:23.3415293"
"陈***中","PLUS会员","star5","做活动购买，比较实惠，最最方便送货上门，而且速度很快，服务超好，退货也方便，如果需要的话，用起来非常安静，屋子关着，半小时就可以变成绿色空气质量为状态，这款比较大，效率比较高","2019-05-18 18:59","1","2",,,"小米净化器MAX                                                                     ","https://item.jd.com/5487565.html#comment","【米家米家空气净化器2S】米家 空气净化器2S 除雾霾 除甲醛 空气质量屏幕显示 三层净化AC-M4-AA 29W 小米空气净化器【行情 报价 价格 评测】-京东","2019-10-15 20:49:38.5443877"
"MillerLiu","PLUS会员","star5","真的很大，买来之后发现比自己想象的要的大很多，第一次购买max的产品，也是为了新居除醛。现在开启的是最大风量，声音还是可以接受的。连续开机超过一周了，运营稳定，没有产生问题，app控制方便！","2019-08-29 20:06","0","0",,,"小米净化器MAX                                                                     ","https://item.jd.com/5487565.html#comment","【米家米家空气净化器2S】米家 空气净化器2S 除雾霾 除甲醛 空气质量屏幕显示 三层净化AC-M4-AA 29W 小米空气净化器【行情 报价 价格 评测】-京东","2019-10-15 20:49:38.5972458"
"R***5",,"star5","轻巧的小米 到货就打开用了 效果不错 指数很灵敏 温度 湿度都有显示 晚上睡觉 睡眠模式的情况下没有噪音 很不错哦","2019-01-14 22:07","0","0",,,"小米空气净化器2S                                                                     ","https://item.jd.com/5487565.html#comment","【米家米家空气净化器2S】米家 空气净化器2S 除雾霾 除甲醛 空气质量屏幕显示 三层净化AC-M4-AA 29W 小米空气净化器【行情 报价 价格 评测】-京东","2019-10-15 20:49:38.6521754"
"我滴那个什那",,"star5","很棒，试了一下午，风还是那么大，可根据情况，可大可小。非常棒。","2019-06-02 22:19","0","0",,,"小米空气净化器pro                                                                     ","https://item.jd.com/5487565.html#comment","【米家米家空气净化器2S】米家 空气净化器2S 除雾霾 除甲醛 空气质量屏幕显示 三层净化AC-M4-AA 29W 小米空气净化器【行情 报价 价格 评测】-京东","2019-10-15 20:49:38.7120688"
"xuyongroger",,"star5","京东送货快，箱子沉重快递员帮忙搬到家很好。MaX的体积很大，像个小冰箱，使用起来效果也很好，大档位换气很快，足以应对大客厅使用了。如果能再加个负离子净化功能就更完美了。","2019-05-23 18:59","0","0",,,"小米净化器MAX                                                                     ","https://item.jd.com/5487565.html#comment","【米家米家空气净化器2S】米家 空气净化器2S 除雾霾 除甲醛 空气质量屏幕显示 三层净化AC-M4-AA 29W 小米空气净化器【行情 报价 价格 评测】-京东","2019-10-15 20:49:38.7819538"
"j***c",,"star5","挺好的，包装简洁，功能齐全，用起来便捷，雾霾天，我天天开着，有异味也很快就有相应的启动，手机操控也很棒。推荐。","2018-12-22 22:23","1","0",,,"小米空气净化器pro                                                                     ","https://item.jd.com/5487565.html#comment","【米家米家空气净化器2S】米家 空气净化器2S 除雾霾 除甲醛 空气质量屏幕显示 三层净化AC-M4-AA 29W 小米空气净化器【行情 报价 价格 评测】-京东","2019-10-15 20:49:38.8318564"
